"file","nb_read_pairs","sample_ID","tags"
"16SV4_revcomp/16S_F515DI7-16S_R806DI10.R1.fastq.gz",126883,"D20H_d4_r5","F7 R10"
"16SV4_revcomp/16S_F515DI7-16S_R806DI11.R1.fastq.gz",167248,"D10H_d5_r3","F7 R11"
"16SV4_revcomp/16S_F515DI7-16S_R806DI12.R1.fastq.gz",143694,"D10H_d3_r4","F7 R12"
"16SV4_revcomp/16S_F515DI7-16S_R806DI1.R1.fastq.gz",119872,"D1H_d5_r1","F7 R1"
"16SV4_revcomp/16S_F515DI7-16S_R806DI2.R1.fastq.gz",154486,"D20H_d5_r3","F7 R2"
"16SV4_revcomp/16S_F515DI7-16S_R806DI3.R1.fastq.gz",148718,"D1H_d4_r1","F7 R3"
"16SV4_revcomp/16S_F515DI7-16S_R806DI4.R1.fastq.gz",8568,"HD_d3_r3","F7 R4"
"16SV4_revcomp/16S_F515DI7-16S_R806DI5.R1.fastq.gz",148881,"HD_d1_r3","F7 R5"
"16SV4_revcomp/16S_F515DI7-16S_R806DI6.R1.fastq.gz",98185,"H_d5_r3","F7 R6"
"16SV4_revcomp/16S_F515DI7-16S_R806DI7.R1.fastq.gz",6800,"unused_tags_7","F7 R7"
"16SV4_revcomp/16S_F515DI7-16S_R806DI8.R1.fastq.gz",165580,"D10H_d1_r4","F7 R8"
"16SV4_revcomp/16S_F515DI7-16S_R806DI9.R1.fastq.gz",14010,"unused_tags_9","F7 R9"
"16SV4_revcomp/16S_F515DI8-16S_R806DI10.R1.fastq.gz",60123,"H_d3_r3","F8 R10"
"16SV4_revcomp/16S_F515DI8-16S_R806DI11.R1.fastq.gz",8129,"H_d3_r4","F8 R11"
"16SV4_revcomp/16S_F515DI8-16S_R806DI12.R1.fastq.gz",4039,"neg_ctrl_PCR_2","F8 R12"
"16SV4_revcomp/16S_F515DI8-16S_R806DI1.R1.fastq.gz",124389,"D20H_d1_r2","F8 R1"
"16SV4_revcomp/16S_F515DI8-16S_R806DI2.R1.fastq.gz",31165,"H_d2_r5","F8 R2"
"16SV4_revcomp/16S_F515DI8-16S_R806DI3.R1.fastq.gz",157218,"HD_d1_r5","F8 R3"
"16SV4_revcomp/16S_F515DI8-16S_R806DI4.R1.fastq.gz",6115,"NI_d1","F8 R4"
"16SV4_revcomp/16S_F515DI8-16S_R806DI5.R1.fastq.gz",134056,"D20H_d2_r1","F8 R5"
"16SV4_revcomp/16S_F515DI8-16S_R806DI6.R1.fastq.gz",90532,"H_d5_r4","F8 R6"
